timestamp;co2;hum;lum;temp;confort
1261184;249.05;44.225;183.3976833976834;15.632450000000008;2.4
1261185;259.26666666666665;43.625;244.86046511627907;15.799750000000003;2.6
1261186;241.3;43.85;118.45173745173746;15.755400000000002;2.4
1261187;246.16666666666666;43.475;109.56370656370656;15.849299999999998;2.4
1261188;244.28333333333333;43.325;116.18992248062015;15.733750000000004;2.4
1261189;238.71666666666667;43.025;84.28571428571429;15.814595959595964;2.4
1261190;245.16666666666666;43.1875;58.42412451361868;15.6227;2.4
1261191;236.43859649122808;43.1625;55.285714285714285;15.526030927835059;2.4
1261192;238.73333333333332;43.3125;46.82239382239382;15.438080808080809;2.4
1261193;242.88333333333333;43.6625;41.06666666666667;15.469849999999997;2.4
1261194;237.86666666666667;43.95;32.84555984555985;15.372749999999996;2.4
1261195;237.66666666666666;44.1875;26.138996138996138;15.260200000000003;2.4
1261196;240.1;44.15;22.705426356589147;15.264499999999998;2.4
1261197;238.23333333333332;44.4125;20.714285714285715;15.210500000000001;2.4
1261198;239.41666666666666;44.475;19.8062015503876;15.197849999999999;2.4
1261199;240.83333333333334;44.575;19.772200772200772;15.195799999999997;2.4
1261200;240.06666666666666;44.8625;19.81853281853282;15.077849999999998;2.4
1261201;241.73333333333332;45.64935064935065;19.713178294573645;15.00624999999999;2.5
1261202;241.38333333333333;45.5125;19.81081081081081;14.980599999999999;2.5
1261203;240.5;45.85;20.127413127413128;14.934900000000004;2.5
1261204;237.41666666666666;46.425;20.430232558139537;14.840350000000003;2.5
1261205;244.5;46.8625;20.845559845559844;14.731999999999998;2.5
1261206;248.01666666666668;47.35;22.166666666666668;14.672249999999996;2.5
1261207;245.56666666666666;47.4;21.586872586872587;14.660199999999996;2.5
1261208;246.88333333333333;47.325;21.8030888030888;14.61825;2.5
1261209;248.35;47.4375;21.767441860465116;14.600200000000006;2.5
1261210;248.08333333333334;47.4875;21.77992277992278;14.601349999999998;2.5
1261211;248.71666666666667;47.4;21.409266409266408;14.553333333333326;2.5
1261212;249.88333333333333;47.3625;21.837209302325583;14.549750000000001;2.5
1261213;248.93333333333334;47.3;22.37837837837838;14.557899999999995;2.5
1261214;247.81666666666666;47.4375;21.728682170542637;14.515799999999992;2.5
1261215;250.93333333333334;47.45;22.12109375;14.501799999999996;2.5
1261216;248.48333333333332;47.225;21.826254826254825;14.514650000000003;2.5
1261217;247.46666666666667;47.3625;21.86046511627907;14.471449999999994;2.5
1261218;248.01666666666668;47.4625;22.038610038610038;14.460700000000001;2.5
1261219;246.8;47.25;22.52123552123552;14.571100000000001;2.5
1261220;248.51666666666668;46.825;21.25581395348837;14.620499999999993;2.5
1261221;251.23333333333332;46.825;21.320463320463322;14.663549999999995;2.5
1261222;254.3;47.05;21.63953488372093;14.599399999999994;2.5
1261223;245.66666666666666;47.2125;21.864864864864863;14.453999999999999;2.5
1261224;241.83333333333334;47.375;22.111969111969113;14.50025;2.5
1261225;247.16666666666666;47.3125;21.96124031007752;14.507100000000001;2.5
